what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1361244291133
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1361244291207
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1361244291209
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1361244291603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361244293636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361244355301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1361244355382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361244361346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361244365720
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1361244365832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361244366182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361244366597
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1361244377877
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1361244380120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361244389990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361244392008
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361244392918
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1361244393061
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1361244395327
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1361244395329
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1361244395339
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1361244395355
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1361244395368
